site_id,ipv4
CLCLT00133A,10.112.14.153
CLCLT00134A,10.112.14.214
CLCLT00137A,10.112.14.14
CLCLT00140A,10.112.14.26
CLCLT00142A,10.112.15.121
CLCLT00143A,10.112.14.27
CLCLT00144A,10.112.14.28
CLCLT00146A,10.112.14.154
CLCLT00148A,10.112.14.215
CLCLT00150A,10.112.14.155
CLCLT00151A,10.112.14.216
CLCLT00153A,10.112.14.156
CLCLT00154A,10.112.14.157
CLCLT00155A,10.112.14.158
CLCLT00156A,10.112.15.58
CLCLT00157A,10.112.15.87
CLCLT00159A,10.112.14.55
CLCLT00160A,10.112.15.41
CLCLT00161A,10.112.14.218
CLCLT00162A,10.112.14.56
CLCLT00163A,10.112.14.183
CLCLT00164A,10.112.15.112
CLCLT00165A,10.112.14.219
CLCLT00166A,10.112.15.68
CLCLT00168A,10.112.14.29
CLCLT00169A,10.112.14.119
CLCLT00172A,10.112.14.249
CLCLT00173A,10.112.14.159
CLCLT00174A,10.112.15.109
CLCLT00175A,10.112.14.160
CLCLT00178A,10.112.15.117
CLCLT00181A,10.112.14.30
CLCLT00182A,10.112.14.161
CLCLT00183A,10.112.14.120
CLCLT00184A,10.112.15.107
CLCLT00185A,10.112.14.121
CLCLT00186A,10.112.14.122
CLCLT00187A,10.112.14.57
CLCLT00189A,10.112.14.162
CLCLT00190A,10.112.15.88
CLCLT00191A,10.112.14.250
CLCLT00192A,10.112.14.163
CLCLT00195A,10.112.14.220
CLCLT00196A,10.112.14.31
CLCLT00197A,10.112.14.221
CLCLT00198A,10.112.14.123
CLCLT00200A,10.112.14.164
CLCLT00201A,10.112.15.55
CLCLT00205A,10.112.15.89
CLCLT00213A,10.112.14.222
CLCLT00214A,10.112.14.32
CLCLT00215A,10.112.14.223
CLCLT00216A,10.112.14.224
CLCLT00217A,10.112.14.33
CLCLT00218A,10.96.89.196
CLCLT00222A,10.112.14.34
CLCLT00226A,10.112.14.124
CLCLT00227A,10.112.14.165
CLCLT00229A,10.112.14.35
CLCLT00230A,10.112.15.119
CLCLT00233A,10.112.15.90
CLCLT00234A,10.112.14.166
CLCLT00236A,10.112.14.125
CLCLT00240A,10.112.14.15
CLCLT00241A,10.112.14.126
CLCLT00243A,10.112.14.167
CLCLT00246A,10.112.14.168
CLCLT00252A,10.112.15.104
CLCLT00253A,10.112.14.36
CLCLT00256A,10.112.14.169
CLCLT00258A,10.112.14.225
CLCLT00259A,10.112.14.37
CLCLT00260A,10.112.14.170
CLCLT00261A,10.112.14.127
CLCLT00262A,10.112.14.171
CLCLT00263A,10.112.14.128
CLCLT00274A,10.96.89.214
CLCLT00275A,10.112.15.91
CLCLT00305A,10.112.15.110
CLCLT00314A,10.112.15.42
CLCLT00315A,10.112.14.58
CLCLT00316A,10.112.14.38
CLCLT00317A,10.112.14.129
CLCLT00318A,10.112.15.24
CLCLT00319A,10.112.15.92
CLCLT00320A,10.112.14.226
CLCLT00323A,10.112.14.227
CLCLT00325A,10.112.14.39
CLCLT00326A,10.112.14.172
CLCLT00327A,10.112.14.251
CLCLT00329A,10.112.14.40
CLCLT00330A,10.112.14.228
CLCLT00332A,10.112.14.229
CLCLT00335A,10.112.15.69
CLCLT00336A,10.112.14.41
CLCLT00337A,10.112.14.173
CLCLT00338A,10.112.14.174
CLCLT00339A,10.112.14.52
CLCLT00340A,10.112.14.230
CLCLT00342A,10.112.14.130
CLCLT00343A,10.112.14.231
CLCLT00344A,10.112.14.232
CLCLT00345A,10.112.14.131
CLCLT00352A,10.112.14.175
CLCLT00354A,10.112.14.176
CLCLT00355A,10.112.14.233
CLCLT00356A,10.112.14.234
CLCLT00357A,10.112.14.177
CLCLT00358A,10.112.14.178
CLCLT00359A,10.112.14.42
CLCLT00360A,10.112.14.235
CLCLT00361A,10.112.14.59
CLCLT00362A,10.112.14.236
CLCLT00363A,10.112.14.43
CLCLT00366A,10.112.14.44
CLCLT00368A,10.112.14.179
CLCLT00369A,10.112.15.93
CLCLT00370A,10.112.14.237
CLCLT00371A,10.112.14.180
CLCLT00372A,10.112.14.181
CLCLT00374A,10.112.15.123
CLCLT00375A,10.112.14.238
CLCLT00376A,10.112.14.182
CLCLT00377A,10.112.14.45
CLCLT00378A,10.112.14.184
CLCLT00381A,10.112.14.132
CLCLT00382A,10.112.14.239
CLCLT00384A,10.112.14.240
CLCLT00386A,10.112.14.185
CLCLT00387A,10.112.14.241
CLCLT00388A,10.112.14.186
CLCLT00389A,10.96.89.174
CLCLT00390A,10.112.14.187
CLCLT00391A,10.112.15.79
CLCLT00392A,10.112.15.106
CLCLT00393A,10.112.14.188
CLCLT00395A,10.112.14.189
CLCLT00396A,10.112.14.190
CLCLT00397A,10.112.14.63
CLCLT00401A,10.112.15.103
CLCLT00402A,10.112.14.46
CLCLT00403A,10.112.14.64
CLCLT00404A,10.112.14.65
CLCLT00405A,10.112.14.47
CLCLT00406A,10.112.14.66
CLCLT00407A,10.112.14.67
CLCLT00408A,10.112.14.191
CLCLT00409A,10.112.14.68
CLCLT00411A,10.112.14.69
CLCLT00412A,10.112.15.113
CLCLT00413A,10.112.14.70
CLCLT00414A,10.112.15.43
CLCLT00416A,10.112.14.71
CLCLT00417A,10.112.15.122
CLCLT00418A,10.112.14.72
CLCLT00419A,10.112.15.160
CLCLT00420A,10.112.15.111
CLCLT00421A,10.112.15.84
CLCLT00423A,10.112.14.73
